"","rnaDate","rnaPreparer","rnaSampleNumber","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","polyAIsolationProtocol","s1Protocol","roboticS1Prep","s1PrimerSeq"
"97","06.24.19","J.PLAGGENBERG",25,"06.26.19","J.PLAGGENBERG",13,"NEBNextPoly(A)E7490","E7760","No","random"
"98","06.24.19","J.PLAGGENBERG",26,"06.26.19","J.PLAGGENBERG",14,"NEBNextPoly(A)E7490","E7760","No","random"
"99","06.24.19","J.PLAGGENBERG",27,"06.26.19","J.PLAGGENBERG",15,"NEBNextPoly(A)E7490","E7760","No","random"
"100","06.24.19","J.PLAGGENBERG",28,"06.26.19","J.PLAGGENBERG",16,"NEBNextPoly(A)E7490","E7760","No","random"
"101","06.24.19","J.PLAGGENBERG",29,"06.26.19","J.PLAGGENBERG",17,"NEBNextPoly(A)E7490","E7760","No","random"
"102","06.24.19","J.PLAGGENBERG",30,"06.26.19","J.PLAGGENBERG",18,"NEBNextPoly(A)E7490","E7760","No","random"
"103","06.24.19","J.PLAGGENBERG",31,"06.26.19","H.BROWN",37,"NEBNextPoly(A)E7490","E7760","No","random"
"104","06.24.19","J.PLAGGENBERG",32,"06.26.19","H.BROWN",38,"NEBNextPoly(A)E7490","E7760","No","random"
"105","06.24.19","J.PLAGGENBERG",33,"06.26.19","H.BROWN",39,"NEBNextPoly(A)E7490","E7760","No","random"
"106","06.24.19","J.PLAGGENBERG",34,"06.26.19","H.BROWN",40,"NEBNextPoly(A)E7490","E7760","No","random"
"107","06.24.19","J.PLAGGENBERG",35,"06.26.19","H.BROWN",41,"NEBNextPoly(A)E7490","E7760","No","random"
"108","06.24.19","J.PLAGGENBERG",36,"06.26.19","H.BROWN",42,"NEBNextPoly(A)E7490","E7760","No","random"
"109","06.25.19","J.PLAGGENBERG",37,"06.26.19","J.PLAGGENBERG",19,"NEBNextPoly(A)E7490","E7760","No","random"
"110","06.25.19","J.PLAGGENBERG",38,"06.26.19","J.PLAGGENBERG",20,"NEBNextPoly(A)E7490","E7760","No","random"
"111","06.25.19","J.PLAGGENBERG",39,"06.26.19","J.PLAGGENBERG",21,"NEBNextPoly(A)E7490","E7760","No","random"
"112","06.25.19","J.PLAGGENBERG",40,"06.26.19","J.PLAGGENBERG",22,"NEBNextPoly(A)E7490","E7760","No","random"
"113","06.25.19","J.PLAGGENBERG",41,"06.26.19","J.PLAGGENBERG",23,"NEBNextPoly(A)E7490","E7760","No","random"
"114","06.25.19","J.PLAGGENBERG",42,"06.26.19","J.PLAGGENBERG",24,"NEBNextPoly(A)E7490","E7760","No","random"
"115","06.25.19","J.PLAGGENBERG",43,"06.26.19","H.BROWN",43,"NEBNextPoly(A)E7490","E7760","No","random"
"116","06.25.19","J.PLAGGENBERG",44,"06.26.19","H.BROWN",44,"NEBNextPoly(A)E7490","E7760","No","random"
"117","06.25.19","J.PLAGGENBERG",45,"06.26.19","H.BROWN",45,"NEBNextPoly(A)E7490","E7760","No","random"
"118","06.25.19","J.PLAGGENBERG",46,"06.26.19","H.BROWN",46,"NEBNextPoly(A)E7490","E7760","No","random"
"119","06.25.19","J.PLAGGENBERG",47,"06.26.19","H.BROWN",47,"NEBNextPoly(A)E7490","E7760","No","random"
"120","06.25.19","J.PLAGGENBERG",48,"06.26.19","H.BROWN",48,"NEBNextPoly(A)E7490","E7760","No","random"
"121","08.08.19","J.PLAGGENBERG",2,"08.21.19","J.PLAGGENBERG",1,"NEBNextPoly(A)E7490","E7760","No","random"
"122","08.08.19","J.PLAGGENBERG",5,"08.21.19","J.PLAGGENBERG",2,"NEBNextPoly(A)E7490","E7760","No","random"
"123","08.08.19","J.PLAGGENBERG",8,"08.21.19","J.PLAGGENBERG",3,"NEBNextPoly(A)E7490","E7760","No","random"
"124","08.08.19","J.PLAGGENBERG",11,"08.21.19","J.PLAGGENBERG",4,"NEBNextPoly(A)E7490","E7760","No","random"
"125","08.08.19","J.PLAGGENBERG",14,"08.21.19","J.PLAGGENBERG",5,"NEBNextPoly(A)E7490","E7760","No","random"
"126","08.08.19","J.PLAGGENBERG",17,"08.21.19","J.PLAGGENBERG",6,"NEBNextPoly(A)E7490","E7760","No","random"
